Scenario,Seed,HCL_NRE,pTRPCA_NRE,DeltaNRE,HCL_Win,Tie
ES,20270024,0.00787027126316248,0.0162587025761454,-0.00838843131298292,1,0
ES,20270025,0.00796371404571282,0.0163069131345173,-0.00834319908880448,1,0
ES,20270026,0.00790117835810396,0.0162728170864164,-0.00837163872831244,1,0
ES,20270027,0.00788884244894717,0.0162989759058329,-0.00841013345688573,1,0
ES,20270028,0.0078399283748646,0.0161877139455847,-0.0083477855707201,1,0
ES,20270029,0.00795644411988259,0.0162748847421491,-0.00831844062226651,1,0
ES,20270030,0.00780888243058528,0.0161724120405793,-0.00836352960999402,1,0
BS,20270001,0.00833030505804617,0.0165660278667546,-0.00823572280870843,1,0
BS,20270002,0.0083438786507682,0.0165143441048542,-0.008170465454086,1,0
BS,20270003,0.0083152525324588,0.0165218990351579,-0.0082066465026991,1,0
BS,20270004,0.008365922493011,0.0165605642719287,-0.0081946417789177,1,0
BS,20270005,0.00831077008965404,0.0164869568567969,-0.00817618676714286,1,0
BS,20270006,0.00835401024018708,0.0165550565907213,-0.00820104635053422,1,0
BS,20270007,0.00824813633273637,0.0165190623700846,-0.00827092603734823,1,0
BS,20270008,0.00826959937057362,0.0164937072908453,-0.00822410792027168,1,0
BS,20270009,0.00828334227138967,0.0164845227020401,-0.00820118043065043,1,0
BS,20270010,0.00829850662696621,0.016472546391551,-0.00817403976458479,1,0
BS,20270011,0.00835011284897997,0.0165494581767458,-0.00819934532776583,1,0
BS,20270012,0.00828027047593141,0.0163975343505695,-0.00811726387463809,1,0
BS,20270013,0.00828652698009895,0.0165062061530485,-0.00821967917294955,1,0
BS,20270014,0.00836106719912663,0.0165517566335905,-0.00819068943446387,1,0
BS,20270015,0.00824938775647288,0.016512892854009,-0.00826350509753612,1,0
BS,20270016,0.00828648971286535,0.0165492910755125,-0.00826280136264715,1,0
BS,20270017,0.00838008733509253,0.0166130167342347,-0.00823292939914217,1,0
BS,20270018,0.00821046783847243,0.0164629312069195,-0.00825246336844707,1,0
BS,20270019,0.00827486173866292,0.0165349326045075,-0.00826007086584458,1,0
BS,20270020,0.00839536938077566,0.0165367330720442,-0.00814136369126854,1,0
BS,20270021,0.00833923281428196,0.0165079145725665,-0.00816868175828454,1,0
BS,20270022,0.00828088237868693,0.0165055636764054,-0.00822468129771847,1,0
BS,20270023,0.00827753298650618,0.0165356317951065,-0.00825809880860032,1,0
BS,20270024,0.00826643653361677,0.0164647220415189,-0.00819828550790213,1,0
BS,20270025,0.00843786681541687,0.0165912958729586,-0.00815342905754173,1,0
BS,20270026,0.00827162997536218,0.0165177383773972,-0.00824610840203502,1,0
BS,20270027,0.00838659730105417,0.0165535304346052,-0.00816693313355103,1,0
BS,20270028,0.00826192108281444,0.0165082099037939,-0.00824628882097946,1,0
BS,20270029,0.00836279925253201,0.01647058928779,-0.00810779003525799,1,0
BS,20270030,0.00815564474394867,0.0164640219308536,-0.00830837718690493,1,0
EBS,20270001,0.0087565297200058,0.0169074501180677,-0.0081509203980619,1,0
EBS,20270002,0.00882181288047371,0.016874669085325,-0.00805285620485129,1,0
EBS,20270003,0.00868723613507067,0.0168692718751838,-0.00818203574011313,1,0
EBS,20270004,0.00871546636823391,0.0169532273455555,-0.00823776097732159,1,0
EBS,20270005,0.00867453097510181,0.0167270403298633,-0.00805250935476149,1,0
EBS,20270006,0.0105916480847929,0.0168660272749712,-0.0062743791901783,1,0
EBS,20270007,0.0087218576842082,0.0168154261337625,-0.0080935684495543,1,0
EBS,20270008,0.00875445693852945,0.016810763092854,-0.00805630615432455,1,0
EBS,20270009,0.00863081726385838,0.0168102542108408,-0.00817943694698242,1,0
EBS,20270010,0.00876673669378325,0.0168269633239609,-0.00806022663017765,1,0
EBS,20270011,0.00876721743429849,0.0169105546638361,-0.00814333722953761,1,0
EBS,20270012,0.00906705865815164,0.0167538494916094,-0.00768679083345776,1,0
EBS,20270013,0.00872396386224986,0.0168413093516849,-0.00811734548943504,1,0
EBS,20270014,0.00879296011067504,0.0168390376564203,-0.00804607754574526,1,0
EBS,20270015,0.00869280380626291,0.0168376266436161,-0.00814482283735319,1,0
EBS,20270016,0.00867854792246626,0.0168475497094979,-0.00816900178703164,1,0
EBS,20270017,0.00885193747480303,0.0168935185747337,-0.00804158109993067,1,0
