Rank,TotalUpdate,N,ObjectiveNormMean,ObjectiveNormSD,NREMean,NRESD,RelativeUpdateMean,RelativeUpdateSD,RankBoundMean,RankBoundSD
30,30,10,0.474132219292015,0.0155854632510097,0.254484336284418,0.00150395756822161,0.00767998571485908,0.000218870615532458,0.00135442215500929,3.86004334321421e-05
30,31,10,0.470697654277004,0.0155108795220665,0.256971970263683,0.00152192225272889,0.00736359997044409,0.00022459711003843,0.00129862458397625,3.96081254431982e-05
30,32,10,0.467506266148409,0.0154375193144068,0.259437284381677,0.00154597486524898,0.00707226325665063,0.000230482440628057,0.00124724664138228,4.06437425381993e-05
30,33,10,0.464532747037094,0.0153663277586261,0.261875554024032,0.00157446230814976,0.00680335813645904,0.000235909200684038,0.00119982609948795,4.15985959327302e-05
30,34,10,0.461755038552759,0.0152980296706271,0.264283290778028,0.00160612972944614,0.00655458218352539,0.000240474173224711,0.0011559564505701,4.24016872040435e-05
30,35,10,0.459153867587995,0.0152331401625362,0.266657983503075,0.00164006520235644,0.00632389378867624,0.000243918997011003,0.00111527730541328,4.30075063186972e-05
30,36,10,0.456712357229204,0.0151719855645568,0.268997890845148,0.00167563155801504,0.00610947657778761,0.000246087230926922,0.00107746808633591,4.33884806428344e-05
30,37,10,0.454415693529043,0.0151147298884739,0.271301874965492,0.00171239900917043,0.00590971715885231,0.000246907888558985,0.00104224407952939,4.35320857695604e-05
30,38,10,0.452250835972758,0.0150614040372099,0.273569268833896,0.00175008573272882,0.00572319067501332,0.000246390551689475,0.00100935387009713,4.3439993120553e-05
30,39,10,0.450206265052457,0.0150119357999885,0.275799771063973,0.0017885093093199,0.00554864807232202,0.000244618101731329,0.000978577083841717,4.31267938871013e-05
30,40,10,0.448271764022617,0.0149661787556345,0.277993363252548,0.00182754941344794,0.0053850004490387,0.000241731287322703,0.000949721617587352,4.26172810630529e-05
30,41,10,0.446438233224393,0.0149239382703464,0.280150245424736,0.00186712078743426,0.00523129923082037,0.000237906897669317,0.000922620135840477,4.1942602591753e-05
30,42,10,0.444697534826988,0.0148849931959926,0.282270785732532,0.0019071548722082,0.00508671399224229,0.000233334805955009,0.000897126154265676,4.11362145345624e-05
30,43,10,0.443042364597787,0.0148491125837904,0.284355481141181,0.00194758824819241,0.00495051089732499,0.000228198782249723,0.000873110233751314,4.02304985196459e-05
30,44,10,0.441466146378982,0.0148160674696973,0.28640492646987,0.00198835610325287,0.00482203414616917,0.000222663679863588,0.000850456705650815,3.92545027670798e-05
30,45,10,0.439962944731444,0.0147856383517506,0.28841978976921,0.00202938918043793,0.00470069152568119,0.000216869196953729,0.000829061121531019,3.82328423258947e-05
30,46,10,0.438527391639567,0.0147576192835639,0.29040079255279,0.00207061297542062,0.0045859439734851,0.000210928807448489,0.000808828411179243,3.71855106404033e-05
30,47,10,0.437154623976217,0.0147318195700505,0.292348693818591,0.00211194827890886,0.00447729832700737,0.000204931826286057,0.000789671602696803,3.6128243639172e-05
30,48,10,0.435840229309283,0.014708063938598,0.294264277095083,0.00215331244223906,0.0043743022094706,0.000198946774613285,0.000771510919712374,3.50731129277387e-05
30,49,10,0.434580198377468,0.0146861918538403,0.296148339946209,0.00219462096125092,0.00427654018524882,0.000193024900668225,0.000754273102650045,3.40291463581295e-05
30,50,10,0.433370883082117,0.0146660564230208,0.298001685499125,0.00223578912450799,0.00418363066478738,0.000187203447429733,0.000737890862335468,3.30029039209546e-05
30,51,10,0.43220895915527,0.0146475231549345,0.299825115646838,0.00227673357137608,0.00409522332127462,0.000181508686341481,0.000722302423967493,3.19990124086069e-05
30,52,10,0.431091392852019,0.0146304687103759,0.301619425643871,0.00231737367093345,0.00401099689045605,0.00017595877637047,0.000707451138750742,3.10206693229644e-05
30,53,10,0.430015411152795,0.014614779710887,0.303385399865263,0.00235763267736134,0.00393065720849109,0.000170566340162297,0.000693285137582001,3.00700969415388e-05
